ID,f_name,Year,recordcount,HY,CJId,HaD,gltype,glname,latitude,longitude
11709185,山东众音化学科技有限公司,2014,6,电力、热力生产和供应业,23509,1,0,,37.175911,122.002316
181099,孟州市万博皮毛厂,,0,皮革、毛皮、羽毛及其制品和制鞋业,8213,0,0,,35.509166,113.451666
198025,山东鲁北化工股份有限公司,2017,2,复混肥料制造,32456,1,0,,38.087760,117.729160
3450397,阿波罗机电技术有限公司,,0,,0,0,0,,29.684773,107.616441
11693541,泸州东方农化有限责任公司,2019,5,农药制造,0,0,0,,28.738920,105.290370
227386,苏州博瑞水处理有限公司,2016,1,水污染治理,20929,0,0,,31.284462,120.820332
227413,泰州市中浦再生资源利用有限公司,2015,1,废弃资源综合利用业,20958,0,0,,32.340568,120.028520
227453,潍坊振兴宏泰化工有限公司,2016,1,化学试剂和助剂制造,23398,0,0,,36.723940,118.914321
227467,无锡市固废环保处置有限公司,2015,1,环境治理业,48049,0,0,,31.566313,120.210642
227478,武汉径河化工有限公司,2017,3,合成橡胶制造,24552,1,0,,30.680010,114.169910
227488,武宣县锰锌矿花鱼岭选厂,,0,有色金属矿采选业,25056,0,0,,23.565977,109.764975
227521,襄汾县星原钢铁集团有限公司焦化厂,2019,2,炼焦,27075,0,0,,35.866944,111.395556
227532,新疆北山矿业有限公司,,0,煤炭开采和洗选业,17391,0,0,,44.022570,89.594550
227544,新疆天华矿业有限责任公司,2016,1,黑色金属矿采选业,17333,0,0,,43.793840,82.705011
227546,新疆天泰纤维有限公司,2016,1,棉纺纱加工,17352,1,0,,44.632820,85.905900
227616,宜昌市危险废物集中处置中心,2017,6,环境治理业,20113,0,0,,30.648072,111.353257
227630,永昌培霖化工有限公司,2016,1,其他非金属矿物制品制造,16351,0,0,,38.265277,101.093055
227634,江西祥盛环保科技有限公司,,0,有色金属压延加工,23716,0,0,,27.230764,115.340741
